ZONE_NO,ZONE_NAME,WARD_NO,WARD_NAME,HOUSEHOLDS,POPULATION,MALE,FEMALE
I,THIRUVOTTIYUR,1,Sathyavani muthu nagar,3464,20800,,
I,THIRUVOTTIYUR,2,Kathivakkam,3695,20599,,
I,THIRUVOTTIYUR,3,Annai Sivagami nagar,5612,24830,,
I,THIRUVOTTIYUR,4,Ernavoor,4701,21200,,
I,THIRUVOTTIYUR,5,Wimco nagar,5407,23930,,
I,THIRUVOTTIYUR,6,Sathyamoorthy nagar,6236,27330,,
I,THIRUVOTTIYUR,7,Ramasamy nagar,5195,23168,,
I,THIRUVOTTIYUR,8,Periyar nagar,4876,21503,,
I,THIRUVOTTIYUR,9,Thiruvottiyur Kuppam,4664,21042,,
I,THIRUVOTTIYUR,10,Maatu mandai,5295,23567,,
I,THIRUVOTTIYUR,11,Kaladipet North,5292,23555,,
I,THIRUVOTTIYUR,12,Kaladipet South,5304,23601,,
I,THIRUVOTTIYUR,13,Sathma nagar,5532,24513,,
I,THIRUVOTTIYUR,14,Thiruchina Kuppam,5027,22962,,
II,MANALI,15,Edayanchavadi,1076,29835,,
II,MANALI,16,Andarkuppam,2278,19300,,
II,MANALI,17,Vadaperumbakkam,1800,7550,,
II,MANALI,18,Manali,2655,13054,,
II,MANALI,19,MMDA Mathur,7791,39878,,
II,MANALI,20,Manali,1964,11718,,
II,MANALI,21,Manali,1597,10533,,
III,MADHAVARAM,22,Kavangarai,4879,19517,,
III,MADHAVARAM,23,Puzhal,3253,13011,,
III,MADHAVARAM,24,Soorapet,4757,19027,,
III,MADHAVARAM,25,Kathirvedu,3660,14641,,
III,MADHAVARAM,26,Thanikachalam Nagar,5454,21814,,
III,MADHAVARAM,27,Alex Nagar,3918,15671,,
III,MADHAVARAM,28,Arul nagar,3445,13778,,
III,MADHAVARAM,29,Chinnasekkadu,3600,14400,,
III,MADHAVARAM,30,Madhavaram,3198,12792,,
III,MADHAVARAM,31,Udayar Thottam,3070,12280,,
III,MADHAVARAM,32,Lakshmipuram,4164,16657,,
III,MADHAVARAM,33,Ponniamman Medu,5609,22439,,
IV,TONDIARPET,34,Jambuli Village,12431,49723,,
IV,TONDIARPET,35,Kodungaiyur,15870,63480,,
IV,TONDIARPET,36,Erukenchery,12809,51234,,
IV,TONDIARPET,37,Kodungaiyur,11947,47788,,
IV,TONDIARPET,38,Tondiarpet,10778,43112,,
IV,TONDIARPET,39,Cherian Nagar,11293,45171,,
IV,TONDIARPET,40,"VOC Nagar,Ammani Ammal Thottam",10112,40446,,
IV,TONDIARPET,41,Kumarasamy Nagar South,9628,38511,,
IV,TONDIARPET,42,Tondiarpet,8820,35278,,
IV,TONDIARPET,43,Kasimedu,10745,42979,,
IV,TONDIARPET,44,Perambur Market,9663,38650,,
IV,TONDIARPET,45,Ganesapuram,9912,39649,,
IV,TONDIARPET,46,Vyasarpadi,9289,37155,,
IV,TONDIARPET,47,Korukkupe,9537,38146,,
IV,TONDIARPET,48,Parthasarathy Nagar,9093,36372,,
V,ROYAPURAM,49,Old Wasermanpet,11512,46048,,
V,ROYAPURAM,50,Panamarathotti,10093,40371,,
V,ROYAPURAM,51,Old Wasermanpet,9276,37102,,
V,ROYAPURAM,52,Meenachi Amman pettai,11343,45372,,
V,ROYAPURAM,53,Moolakathalam,11884,47537,,
V,ROYAPURAM,54,Kondithope,11030,44121,,
V,ROYAPURAM,55,Seven Wells,8649,34595,,
V,ROYAPURAM,56,Muthialpet,10241,40965,,
V,ROYAPURAM,57,Sowcarpet,9958,39833,,
V,ROYAPURAM,58,Periyamedu,11533,46130,,
V,ROYAPURAM,59,George Town,10821,43282,,
V,ROYAPURAM,60,Seethakaathi Nagar,10462,41846,,
V,ROYAPURAM,61,Egmore,10572,42289,,
V,ROYAPURAM,62,Chintadripet,10815,43260,,
V,ROYAPURAM,63,Komaleeswaran pettai,10498,41991,,
VI,THIRU-VI-KA-NAGAR,64,Kolathur,9200,46000,,
VI,THIRU-VI-KA-NAGAR,65,,13500,63460,,
VI,THIRU-VI-KA-NAGAR,66,,10626,53000,,
VI,THIRU-VI-KA-NAGAR,67,,11250,45000,,
VI,THIRU-VI-KA-NAGAR,68,,11550,48000,,
VI,THIRU-VI-KA-NAGAR,69,,10700,53500,,
VI,THIRU-VI-KA-NAGAR,70,,11500,39000,,
VI,THIRU-VI-KA-NAGAR,71,Thiru vi ka nagar,14800,45000,,
VI,THIRU-VI-KA-NAGAR,72,,14000,52000,,
VI,THIRU-VI-KA-NAGAR,73,Pulianthope,16350,48000,,
VI,THIRU-VI-KA-NAGAR,74,,10747,53735,,
VI,THIRU-VI-KA-NAGAR,75,,12500,45000,,
VI,THIRU-VI-KA-NAGAR,76,,12000,48000,,
VI,THIRU-VI-KA-NAGAR,77,,9800,60000,,
VI,THIRU-VI-KA-NAGAR,78,Choolai,10400,52000,,
VII,AMBATTUR,79,,9871,39434,,
VII,AMBATTUR,80,,9501,38003,,
VII,AMBATTUR,81,,8885,35539,,
VII,AMBATTUR,82,,10820,43279,,
VII,AMBATTUR,83,,9425,37701,,
VII,AMBATTUR,84,,8110,32441,,
VII,AMBATTUR,85,Ambattur,8203,32813,,
VII,AMBATTUR,86,,9681,38724,,
VII,AMBATTUR,87,,6221,24884,,
VII,AMBATTUR,88,,6801,27204,,
VII,AMBATTUR,89,,7443,29204,,
VII,AMBATTUR,90,,7852,31408,,
VII,AMBATTUR,91,,8265,33060,,
VII,AMBATTUR,92,,8034,32137,,
VII,AMBATTUR,93,,8407,33629,,
VIII,ANNANAGAR,94,Villivakkam,13553,54215,,
VIII,ANNANAGAR,95,,12915,51661,,
VIII,ANNANAGAR,96,,9349,37396,,
VIII,ANNANAGAR,97,,11362,45450,,
VIII,ANNANAGAR,98,,7612,30449,,
VIII,ANNANAGAR,99,,11913,47653,,
VIII,ANNANAGAR,100,Anna nagar,10005,40021,,
VIII,ANNANAGAR,101,,9359,37436,,
VIII,ANNANAGAR,102,,11661,46647,,
VIII,ANNANAGAR,103,Kilpauk,10481,41925,,
VIII,ANNANAGAR,104,Purasawalkam,11553,46214,,
VIII,ANNANAGAR,105,,12808,51235,,
VIII,ANNANAGAR,106,Aminjikarai,9098,36392,,
VIII,ANNANAGAR,107,Chetpet,9551,38207,,
VIII,ANNANAGAR,108,,9748,38994,,
VIII,TEYNAMPET,109,Choolaimedu,12000,45593,,
IX,TEYNAMPET,110,Kosimani Nagar,7317,43899,,
IX,TEYNAMPET,111,Thousand Light,9000,40232,,
IX,TEYNAMPET,112,Pulyur,6272,37635,,
IX,TEYNAMPET,113,Nakkeran Nagar,13000,41751,,
IX,TEYNAMPET,114,Chepauk,3913,41116,,
IX,TEYNAMPET,115,Ammer Mahal,4020,35600,,
IX,TEYNAMPET,116,Triplicane,3500,40605,,
IX,TEYNAMPET,117,Sathyamoorthy nagar,7820,46922,,
IX,TEYNAMPET,118,Royapettah,8341,41706,,
IX,TEYNAMPET,119,Azat Nagar,6754,40521,,
IX,TEYNAMPET,120,Krishnamapet,2650,41223,,
IX,TEYNAMPET,121,Vivekananda nagar,3800,38603,,
IX,TEYNAMPET,122,Alwarpet,6890,41342,,
IX,TEYNAMPET,123,Beemanpet,9128,45642,,
IX,TEYNAMPET,124,Mylapore,7348,44090,,
IX,TEYNAMPET,125,Santhome,7456,44741,,
IX,TEYNAMPET,126,Awai Nagar,13735,37152,,
X,KODAMBAKKAM,127,Koyambedu,12250,49000,,
X,KODAMBAKKAM,128,Virugambakkann,10250,41000,,
X,KODAMBAKKAM,129,Saligramam,11250,45000,,
X,KODAMBAKKAM,130,Vadapalani,9482,37927,,
X,KODAMBAKKAM,131,K.K.Nagar,10600,42400,,
X,KODAMBAKKAM,132,Ashok Nagar,10500,42000,,
X,KODAMBAKKAM,133,Ram Colony,8703,34809,,
X,KODAMBAKKAM,134,Kodambakkam,10724,42896,,
X,KODAMBAKKAM,135,Thambaiah Road,9209,36835,,
X,KODAMBAKKAM,136,T Nagar,9110,36439,,
X,KODAMBAKKAM,137,K.K. Nagar,12438,49750,,
X,KODAMBAKKAM,138,Jafferkhanpet,10288,41150,,
X,KODAMBAKKAM,139,R.R.Colony,10000,40000,,
X,KODAMBAKKAM,140,Saidapet,13258,53031,,
X,KODAMBAKKAM,141,V.O.C.Nagar,8563,34250,,
X,KODAMBAKKAM,142,Saidapet,11005,44017,,
XI,VALASARAVAKKAM,143,Nolambur,9415,24326,,
XI,VALASARAVAKKAM,144,Madhuravoil,5382,20581,,
XI,VALASARAVAKKAM,145,Nerkundram,5275,30809,,
XI,VALASARAVAKKAM,146,Madhuravoil,6953,31515,,
XI,VALASARAVAKKAM,147,Madhuravoil,8494,31329,,
XI,VALASARAVAKKAM,148,Nerkundram,5210,30550,,
XI,VALASARAVAKKAM,149,Valasaravakkam,7930,22024,,
XI,VALASARAVAKKAM,150,Karambakkam,5752,26532,,
XI,VALASARAVAKKAM,151,Porur,6839,20247,,
XI,VALASARAVAKKAM,152,Valasaravakkam,7635,25323,,
XI,VALASARAVAKKAM,153,Porur,8042,27878,,
XI,VALASARAVAKKAM,154,Ramapuram,4051,26446,,
XI,VALASARAVAKKAM,155,Ramapuram,7142,28401,,
XII,ALANDUR,156,Mugalivakkam,8125,32500,,
XII,ALANDUR,157,Manapakkam,11121,44485,,
XII,ALANDUR,158,Nandambakkam,4100,16400,,
XII,ALANDUR,159,Meenambakkam,1100,4400,,
XII,ALANDUR,160,,4305,17222,,
XII,ALANDUR,161,,4750,19000,,
XII,ALANDUR,162,,5000,20000,,
XII,ALANDUR,163,,4250,17000,,
XII,ALANDUR,164,Alandur,5500,22000,,
XII,ALANDUR,165,,5579,23316,,
XII,ALANDUR,166,,6250,24800,,
XII,ALANDUR,167,,6053,24174,,
XIV,PERUNGUDI,168,,8625,34500,,
XIV,PERUNGUDI,169,,9125,36500,,
XIII,ADYAR,170,Guindy,8720,71510,,
XIII,ADYAR,171,,10483,104558,,
XIII,ADYAR,172,,10738,90019,,
XIII,ADYAR,173,Raja annamalaipuram,11933,95325,,
XIII,ADYAR,174,,11545,95976,,
XIII,ADYAR,175,Adyar,9156,86510,,
XIII,ADYAR,176,,4700,75440,,
XIII,ADYAR,177,,10350,84870,,
XIII,ADYAR,178,Velachery,9292,89790,,
XIII,ADYAR,179,,10332,94300,,
XIII,ADYAR,180,,9000,84870,,
XIII,ADYAR,181,Thiruvanmiyur,10975,89585,,
XIII,ADYAR,182,,11500,94300,,
XIV,PERUNGUDI,183,Kottivakkam,10182,40728,,
XIV,PERUNGUDI,184,Perungudi,6475,25900,,
XIV,PERUNGUDI,185,Palavakkam,9725,40500,,
XIV,PERUNGUDI,186,,5375,21500,,
XIV,PERUNGUDI,187,Madipakkam,5500,34500,,
XIV,PERUNGUDI,188,,8600,34399,,
XIV,PERUNGUDI,189,Pallikkaranai,8000,32000,,
XIV,PERUNGUDI,190,,7750,31000,,
XIV,PERUNGUDI,191,Jalladampettai,6250,25000,,
XV,SOZHINGANALLUR,192,Neelankarai,7673,28193,,
XV,SOZHINGANALLUR,193,,5319,19723,,
XV,SOZHINGANALLUR,194,Okkiyam thuraipakkam,3485,12715,,
XV,SOZHINGANALLUR,195,,13044,40040,,
XV,SOZHINGANALLUR,196,Injambakkam,5233,20620,,
XV,SOZHINGANALLUR,197,Karapakkam,4112,15385,,
XV,SOZHINGANALLUR,198,Sozhianganallur,3296,12580,,
XV,SOZHINGANALLUR,199,Uthandi,1313,5035,,
XV,SOZHINGANALLUR,200,Semmanchery,5627,17803,,